theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
1.012533,0.570592,1.511886,1.570592,2.511886,-9.9100,-9.5100
0.182142,5.005401,4.495409,6.005401,5.495409,-11.4000,-10.6600
0.195168,4.640035,3.265795,5.640035,4.265795,-11.3400,-10.7100
0.197428,4.581572,2.890451,5.581572,3.890451,-11.3300,-10.7400
0.171953,5.329870,3.570882,6.329870,4.570882,-11.4500,-10.7900
0.155028,5.963373,4.011872,6.963373,5.011872,-11.5400,-10.8400
0.462817,1.699112,0.548817,2.699112,1.548817,-10.5900,-10.4000
0.436927,1.825005,0.230269,2.825005,1.230269,-10.6400,-10.5500
0.393921,2.071321,0.318257,3.071321,1.318257,-10.7300,-10.6100
0.327649,2.579298,0.698244,3.579298,1.698244,-10.8900,-10.6600
1.176006,0.446150,-0.339307,1.446150,0.660693,-9.7800,-9.9600
1.203398,0.428923,-0.339307,1.428923,0.660693,-9.7600,-9.9400
1.176006,0.446150,0.000000,1.446150,1.000000,-9.7800,-9.7800
1.136081,0.472916,0.258925,1.472916,1.258925,-9.8100,-9.7100
1.097512,0.500826,0.380384,1.500826,1.380384,-9.8400,-9.7000
1.060253,0.529914,0.621810,1.529914,1.621810,-9.8700,-9.6600
1.036118,0.549977,0.905461,1.549977,1.905461,-9.8900,-9.6100
1.048116,0.539877,0.737801,1.539877,1.737801,-9.8800,-9.6400
1.072530,0.520085,0.445440,1.520085,1.445440,-9.8600,-9.7000
1.136081,0.472916,0.174898,1.472916,1.174898,-9.8100,-9.7400
1.176006,0.446150,0.230269,1.446150,1.230269,-9.7800,-9.6900
1.189623,0.437475,0.202264,1.437475,1.202264,-9.7700,-9.6900
1.149236,0.463869,0.380384,1.463869,1.380384,-9.8000,-9.6600
1.136081,0.472916,0.380384,1.472916,1.380384,-9.8100,-9.6700
1.123077,0.482091,0.412538,1.482091,1.412538,-9.8200,-9.6700
1.110221,0.491394,0.380384,1.491394,1.380384,-9.8300,-9.6900
1.097512,0.500826,0.513561,1.500826,1.513561,-9.8400,-9.6600
1.084949,0.510389,0.445440,1.510389,1.445440,-9.8500,-9.6900
1.072530,0.520085,0.412538,1.520085,1.412538,-9.8600,-9.7100
1.048116,0.539877,0.479108,1.539877,1.479108,-9.8800,-9.7100
1.000943,0.581109,0.513561,1.581109,1.513561,-9.9200,-9.7400
0.902421,0.682330,0.698244,1.682330,1.698244,-10.0100,-9.7800
0.861806,0.731298,0.659587,1.731298,1.659587,-10.0500,-9.8300
0.832548,0.769722,0.737801,1.769722,1.737801,-10.0800,-9.8400
0.795077,0.823308,0.778279,1.823308,1.778279,-10.1200,-9.8700
0.742009,0.908966,0.778279,1.908966,1.778279,-10.1800,-9.9300
0.692483,1.001329,0.621810,2.001329,1.621810,-10.2400,-10.0300
0.631552,1.135683,0.778279,2.135683,1.778279,-10.3200,-10.0700
0.582652,1.264572,1.041738,2.264572,2.041738,-10.3900,-10.0800
0.537538,1.404913,1.238721,2.404913,2.238721,-10.4600,-10.1100
0.501660,1.535013,1.137962,2.535013,2.137962,-10.5200,-10.1900
0.468176,1.674821,1.570396,2.674821,2.570396,-10.5800,-10.1700
0.431926,1.851094,1.884032,2.851094,2.884032,-10.6500,-10.1900
0.412486,1.958601,1.951209,2.958601,2.951209,-10.6900,-10.2200
0.389412,2.100343,2.019952,3.100343,3.019952,-10.7400,-10.2600
0.285371,3.027963,3.466836,4.027963,4.466836,-11.0100,-10.3600
0.275683,3.150304,3.677351,4.150304,4.677351,-11.0400,-10.3700
0.260261,3.363958,3.365158,4.363958,4.365158,-11.0900,-10.4500
0.269407,3.234275,2.388442,4.234275,3.388442,-11.0600,-10.5300
